NPI,Physician_Name,State,Total_Procedures_Annual,Total_Revenue_Annual,Total_RVUs_Annual,Monthly_Procedures,Monthly_Revenue,Monthly_RVUs,RVU_to_National_Mean_Diff_Pct,Performance_Tier
1003134701,Lamont Barlow,NY,231.0,12022.830000150001,347.4183816816062,19.2,1001.9,29.0,-91.0,Bottom 10% Performer
1003136565,Albert Petrossian,CA,7780.0,443022.0299984954,12801.810947127839,648.3,36918.5,1066.8,232.4,Top 10% Performer
1003136839,Eric Chapman,MN,457.0,24892.429999878,719.3055001669643,38.1,2074.37,59.9,-81.3,Average Performer
1003137936,Janine Oliver,CO,4627.0,80055.9599998023,2313.341539949555,385.6,6671.33,192.8,-39.9,Average Performer
1003158106,Christine Cumarasamy,CT,5817.0,218087.8200006441,6301.986927216628,484.8,18173.99,525.2,63.6,Average Performer
1003161472,Navneet Mander,MI,474.0,33682.370000121,973.3044945738336,39.5,2806.86,81.1,-74.7,Average Performer
1003179128,Tammy Ho,CA,6611.0,199084.4999989974,5752.856424542348,550.9,16590.37,479.4,49.4,Average Performer
1003179730,Kalen Rimar,MI,1600.0,108146.64999993,3125.065739663124,133.3,9012.22,260.4,-18.9,Average Performer
1003182270,Caroline Elmer-Lyon,KY,2388.0,61020.7599996224,1763.2898151089225,199.0,5085.06,146.9,-54.2,Average Performer
1003197088,James Stocks,TX,47428.0,458782.92000045243,13257.246389388387,3952.3,38231.91,1104.8,244.2,Top 10% Performer
1003203738,Anup Shah,CA,444.0,41622.37999958,1202.7434390247988,37.0,3468.53,100.2,-68.8,Average Performer
1003208026,Philip Wong,OH,1213.0,66350.219999794,1917.2928550315837,101.1,5529.18,159.8,-50.2,Average Performer
1003221458,Vincent Rodriguez Bury,PR,46.0,3383.280000003,97.76514035065969,3.8,281.94,8.1,-97.5,Bottom 10% Performer
1003227802,Xiaosong Meng,TX,463.0,38317.8600002516,1107.254191452734,38.6,3193.16,92.3,-71.3,Average Performer
1003229055,Nathan Jung,WI,1104.0,89621.1399997714,2589.742300506019,92.0,7468.43,215.8,-32.8,Average Performer
1003236738,Daniel Shapiro,WI,332.0,20956.689999943,605.5761684305992,27.7,1746.39,50.5,-84.3,Average Performer
1003250689,Robert Williams,GA,1637.0,56802.369999982,1641.392871797019,136.4,4733.53,136.8,-57.4,Average Performer
1003251778,Carrie Stewart,LA,1315.0,112969.400000078,3264.426605639394,109.6,9414.12,272.0,-15.3,Average Performer
1003263328,Steven Lomax,TX,1765.0,96046.499999502,2775.4130762551795,147.1,8003.87,231.3,-27.9,Average Performer
1003290867,Daniel Frendl,AZ,5942.0,187730.3099986237,5424.759436130626,495.2,15644.19,452.1,40.8,Average Performer
1003293887,Gina Tundo,NY,672.0,35676.1100000034,1030.9167143460825,56.0,2973.01,85.9,-73.2,Average Performer
1003295320,Trey Durdin,TX,1145.0,90405.92000020121,2612.4197398212227,95.4,7533.83,217.7,-32.2,Average Performer
1003295353,Meagan Dunne,MD,1403.0,204150.58000081,5899.248689564587,116.9,17012.55,491.6,53.2,Average Performer
1003296567,Nathan Peffer,PA,1126.0,84412.5899995557,2439.2331431811554,93.8,7034.38,203.3,-36.7,Average Performer
1003298019,Saum Ghodoussipour,CA,660.0,51803.629999985,1496.9465009155872,55.0,4316.97,124.7,-61.1,Average Performer
1003304916,Amanda Myers,TX,136.0,4325.6999999884,124.99783275795667,11.3,360.47,10.4,-96.8,Bottom 10% Performer
1003342866,Mark Ehlers,WI,592.0,34600.6200001009,999.8387572198305,49.3,2883.39,83.3,-74.0,Average Performer
1003347105,Charles Jones,MO,167.0,10831.119999987,312.98206679690344,13.9,902.59,26.1,-91.9,Bottom 10% Performer
1003347618,Joshua Gottlieb,CA,178.0,16579.5,479.0904519999307,14.8,1381.62,39.9,-87.6,Average Performer
1003349440,Ruchika Talwar,TN,29.0,1942.519999993,56.1321381715704,2.4,161.88,4.7,-98.5,Bottom 10% Performer
1003393216,Lior Taich,CA,137.0,10036.17,290.01074951887233,11.4,836.35,24.2,-92.5,Bottom 10% Performer
1003475914,Jason Akerman,NH,519.0,27537.1700000038,795.7293779728429,43.2,2294.76,66.3,-79.3,Average Performer
1003800806,Victor Nitti,CA,11056.0,286581.2700016122,8281.211748230438,921.3,23881.77,690.1,115.0,Average Performer
1003805789,John Pickard,TX,3219.0,116383.1800005117,3363.073090963807,268.2,9698.6,280.3,-12.7,Average Performer
1003809310,Mark Rosenblum,MD,3285.0,157645.0399989461,4555.398743547286,273.8,13137.09,379.6,18.3,Average Performer
1003809385,Richard Santarosa,CT,2708.0,174530.2700005055,5043.323739691312,225.7,14544.19,420.3,30.9,Average Performer
1003813940,John Taylor,KS,379.0,29106.490000159,841.0773214094295,31.6,2425.54,70.1,-78.2,Average Performer
1003815259,Stanley Hall,SC,2007.0,141379.7899998132,4085.3890343294897,167.2,11781.65,340.4,6.1,Average Performer
1003816166,F. Nicholson,GA,140.0,4551.749999967,131.5298992656518,11.7,379.31,11.0,-96.6,Bottom 10% Performer
1003816901,Joseph Womack,TX,4178.0,463582.2199999783,13395.929631105937,348.2,38631.85,1116.3,247.8,Top 10% Performer
1003818493,Fawad Zafar,IA,850.0,57069.150000113,1649.1018950394148,70.8,4755.76,137.4,-57.2,Average Performer
1003820150,Michael Cupp,MO,11560.0,257144.5700008848,7430.592495012015,963.3,21428.71,619.2,92.9,Average Performer
1003820523,David Harris,VA,685.0,25074.87000011,724.5773878700927,57.1,2089.57,60.4,-81.2,Average Performer
1003828179,Edwin Smith,GA,42.0,4486.889999997999,129.655668637354,3.5,373.91,10.8,-96.6,Bottom 10% Performer
1003829201,Robert Badalament,FL,1125.0,71429.609999678,2064.0697331598963,93.8,5952.47,172.0,-46.4,Average Performer
1003832221,Carl Klutke,NC,5760.0,217316.5000003354,6279.698435550144,480.0,18109.71,523.3,63.0,Average Performer
1003842865,Thomas Martin,CT,993.0,67762.229999834,1958.0950812234223,82.8,5646.85,163.2,-49.2,Average Performer
1003844044,Larry Rabon,SC,51.0,5732.8899999,165.6607775456421,4.2,477.74,13.8,-95.7,Bottom 10% Performer
1003845504,Harold Tsai,FL,5835.0,436715.8799977015,12619.58492980164,486.2,36392.99,1051.6,227.6,Top 10% Performer
1003846817,Donald Andersen,PA,12992.0,342845.939999534,9907.066941748415,1082.7,28570.49,825.6,157.2,Top 10% Performer
1003847310,Mark Makhuli,NC,878.0,58617.6699997216,1693.848790093151,73.2,4884.81,141.2,-56.0,Average Performer
1003848078,Matthew Cohen,MA,2335.0,128730.3900008088,3719.8649375201207,194.6,10727.53,310.0,-3.4,Average Performer
1003848540,Victor Abraham,NC,180912.0,401942.34999003774,11614.749668846556,15076.0,33495.2,967.9,201.5,Top 10% Performer
1003851833,Daniel Ricchiuti,OH,4191.0,237649.46000228438,6867.25095509719,349.2,19804.12,572.3,78.3,Average Performer
1003852302,Robert Taylor,LA,6341.0,174434.1399991664,5040.545913713912,528.4,14536.18,420.0,30.9,Average Performer
1003859075,Marklyn Jones,CO,9047.0,126027.1799997425,3641.751478051404,753.9,10502.26,303.5,-5.5,Average Performer
1003866641,John Battin,WV,1321.0,99005.070000154,2860.9055602797757,110.1,8250.42,238.4,-25.7,Average Performer
1003867482,Michael Guralnick,WI,521.0,31408.2899997729,907.5914142486866,43.4,2617.36,75.6,-76.4,Average Performer
1003873050,Richard Mcwhorter,AR,467.0,32766.619999915998,946.8424733116032,38.9,2730.55,78.9,-75.4,Average Performer
1003873183,Boris Klopukh,FL,1543.0,151029.6299994465,4364.236177316391,128.6,12585.8,363.7,13.3,Average Performer
1003873720,Ithaar Derweesh,CA,661.0,44926.630000184,1298.2248845635752,55.1,3743.89,108.2,-66.3,Average Performer
1003878489,David Scott,TX,822.0,57187.380000253004,1652.5183348721616,68.5,4765.62,137.7,-57.1,Average Performer
1003879172,Anthony Golio,PA,632.0,34990.5399999196,1011.1061023723956,52.7,2915.88,84.3,-73.8,Average Performer
1003879453,Lawrence Hakim,FL,861.0,71427.879999599,2064.019742115546,71.8,5952.32,172.0,-46.4,Average Performer
1003879768,Joseph Harryhill,PA,1626.0,90013.420000262,2601.077841550416,135.5,7501.12,216.8,-32.5,Average Performer
1003880626,Bennett Scaglia,FL,472.0,26573.589999865002,767.8852344338586,39.3,2214.47,64.0,-80.1,Average Performer
1003881749,John Brizzolara,AR,2851.0,100610.579999148,2907.299270048373,237.6,8384.21,242.3,-24.5,Average Performer
1003884578,Chad Wotkowicz,ME,367.0,26952.659999954,778.8390519604579,30.6,2246.05,64.9,-79.8,Average Performer
1003887019,Kenneth Woo,MD,7471.0,344276.9400001832,9948.417913558356,622.6,28689.75,829.0,158.3,Top 10% Performer
1003893413,Carin Hopps,OH,1923.0,73128.8700000604,2113.172495103779,160.2,6094.07,176.1,-45.1,Average Performer
1003894197,Joph Steckel,NY,2488.0,264368.18999851303,7639.3302355795495,207.3,22030.68,636.6,98.3,Average Performer
1003896903,Thomas Burns,IL,17626.0,360753.3899991737,10424.53057542214,1468.8,30062.78,868.7,170.6,Top 10% Performer
1003903550,Jennifer Malossi,MO,1680.0,63114.8700003273,1823.8023822415435,140.0,5259.57,152.0,-52.7,Average Performer
1003903568,James Steinmetz,NY,1091.0,64109.0900001599,1852.5319162508422,90.9,5342.42,154.4,-51.9,Average Performer
1003907312,Cheryl Lee,OH,209.0,11663.370000013001,337.03122561890643,17.4,971.95,28.1,-91.3,Bottom 10% Performer
1003911132,Farshad Shafizadeh,NY,1753.0,119454.1399998508,3451.813258891493,146.1,9954.51,287.7,-10.4,Average Performer
1003912726,Dean Lenz,IN,3065.0,151481.4600002224,4377.29250828529,255.4,12623.46,364.8,13.6,Average Performer
1003913815,Troy Sukkarieh,NJ,10841.0,575949.2599989712,16642.950107176493,903.4,47995.77,1386.9,332.1,Top 10% Performer
1003915968,Jay Miller,IL,633.0,65878.259998548,1903.6548363746379,52.8,5489.85,158.6,-50.6,Average Performer
1003935479,William Badger,AZ,3068.0,231514.62999966482,6689.975495710733,255.7,19292.89,557.5,73.7,Average Performer
1003937947,Sandra Hadjinian,WA,832.0,65116.789999783,1881.6509758304292,69.3,5426.4,156.8,-51.1,Average Performer
1003943879,Mirza Baig,OH,1465.0,158301.3299992244,4574.363264363738,122.1,13191.78,381.2,18.8,Average Performer
1003957952,Robert Bass,TN,6490.0,126206.18000053862,3646.92396161782,540.8,10517.18,303.9,-5.3,Average Performer
1003981168,Ananth Annamraju,OH,2398.0,122907.34999880611,3551.5991353805416,199.8,10242.28,296.0,-7.8,Average Performer
1003990953,Michael Karasis,IL,422.0,27195.150000017,785.8461778530148,35.2,2266.26,65.5,-79.6,Average Performer
1003995648,Qingwei Yan,CA,5113.0,371633.399995487,10738.925394741029,426.1,30969.45,894.9,178.8,Top 10% Performer
1013008135,Angelo Kanellos,NV,11462.0,234657.6300002556,6780.797371576642,955.2,19554.8,565.1,76.0,Average Performer
1013019439,Alexander Berry,MA,1529.0,97207.959999948,2808.9752703257795,127.4,8100.66,234.1,-27.1,Average Performer
1013020189,William Terens,NJ,10076.0,489313.5199990695,14139.475585272856,839.7,40776.13,1178.3,267.1,Top 10% Performer
1013020486,David Pinkstaff,TX,2978.0,119260.1100003508,3446.2064601242205,248.2,9938.34,287.2,-10.5,Average Performer
1013031384,Emil Grieco,FL,1346.0,69298.499999621,2002.4879934699852,112.2,5774.87,166.9,-48.0,Average Performer
1013031996,Roc Mccarthy,NC,6930.0,241580.7400007285,6980.851408150231,577.5,20131.73,581.7,81.2,Average Performer
1013033190,Steven Han,WA,1083.0,89288.1399994008,2580.1197473111984,90.2,7440.68,215.0,-33.0,Average Performer
1013038371,Jeremy Davis,OK,6208.0,267755.9100009952,7737.223676710971,517.3,22312.99,644.8,100.9,Average Performer
1013043488,Brian Eisner,MA,1620.0,160050.149998979,4624.8981396102145,135.0,13337.51,385.4,20.1,Average Performer
1013069186,David Buethe,FL,2778.0,151567.1700002397,4379.769232109845,231.5,12630.6,365.0,13.7,Average Performer
1013076546,Stephen Gallo,MA,8193.0,361630.2899990818,10449.86996547098,682.8,30135.86,870.8,171.3,Top 10% Performer
1013077510,John Mhoon,OR,3629.0,122738.6099999087,3546.723130534664,302.4,10228.22,295.6,-7.9,Average Performer
1013081678,John Adams,SC,1194.0,76775.8599997406,2218.5579462564683,99.5,6397.99,184.9,-42.4,Average Performer
1013087451,Benjamin Lee,AZ,292.0,56547.730000613,1634.0346527677987,24.3,4712.31,136.2,-57.6,Average Performer
1013087535,Kevin Banks,OH,1303.0,140006.7899998849,4045.714062794669,108.6,11667.23,337.1,5.0,Average Performer
1013097534,Mark Sender,CA,38669.0,326164.8000005943,9425.039443816262,3222.4,27180.4,785.4,144.7,Top 10% Performer
1013098995,Avinash Gulanikar,MS,6416.0,166004.2600014014,4796.9514133710545,534.7,13833.69,399.7,24.5,Average Performer
1013111491,Yekutiel Sandman,FL,3328.0,199605.6800010062,5767.916731712993,277.3,16633.81,480.7,49.7,Average Performer
1013113802,Norman De La Rosa,PR,37.0,2376.1700000070005,68.66312972840127,3.1,198.01,5.7,-98.2,Bottom 10% Performer
1013117092,Eric Richter,CO,1309.0,113214.7099998044,3271.51521981045,109.1,9434.56,272.6,-15.1,Average Performer
1013117803,Jesse Mierzwiak,WA,1885.0,162856.2999993934,4705.986210545897,157.1,13571.36,392.2,22.2,Average Performer
1013120633,Toby Lees,MI,378.0,22757.560000024,657.6151094319515,31.5,1896.46,54.8,-82.9,Average Performer
1013122977,Brian Sperling,CT,5531.0,222360.50000147842,6425.45266459416,460.9,18530.04,535.5,66.8,Average Performer
1013125871,Charles Powell,IN,477.0,32536.4999997864,940.1927978161832,39.8,2711.37,78.3,-75.6,Average Performer
1013130186,Joseph Phillips,AL,76352.0,154791.8000004987,4472.949933841297,6362.7,12899.32,372.7,16.1,Average Performer
1013139641,Heather Stefaniak,WI,7696.0,117025.0500001077,3381.620923421459,641.3,9752.09,281.8,-12.2,Average Performer
1013140334,Norman Colon-Casasnovas,PR,314.0,22012.0299998504,636.0718599514075,26.2,1834.34,53.0,-83.5,Average Performer
1013154384,John Boon,TX,2020.0,144611.3200011954,4178.769122330547,168.3,12050.94,348.2,8.5,Average Performer
1013159433,Matthew Maurice,OH,254.0,16391.399999986,473.6550097955279,21.2,1365.95,39.5,-87.7,Average Performer
1013166990,Jeffrey Larson,SC,1097.0,88776.4599997046,2565.333957490409,91.4,7398.04,213.8,-33.4,Average Performer
1013177518,Boris Gershman,RI,805.0,62953.660000172,1819.1439684268137,67.1,5246.14,151.6,-52.8,Average Performer
1013178227,Ashley King,FL,13173.0,334051.1400002003,9652.927510105133,1097.8,27837.6,804.4,150.6,Top 10% Performer
1013179001,Justin Johnson,KY,2950.0,140057.389999841,4047.1762285324885,245.8,11671.45,337.3,5.1,Average Performer
1013179977,Aaron New,TX,1582.0,146077.7199995612,4221.143032160746,131.8,12173.14,351.8,9.6,Average Performer
1013182443,Justin Dixon,KY,2111.0,122466.500000042,3538.8600886558474,175.9,10205.54,294.9,-8.1,Average Performer
1013203165,Robert Lurvey,CA,1336.0,122384.850001319,3536.500684886494,111.3,10198.74,294.7,-8.2,Average Performer
1013203645,Jordan Grant,TX,426.0,31467.130000196,909.2916876223336,35.5,2622.26,75.8,-76.4,Average Performer
1013203959,Lauren Rittenberg,AZ,739.0,50113.5699997131,1448.1095872910953,61.6,4176.13,120.7,-62.4,Average Performer
1013208057,Mohit Sirohi,FL,2775.0,232666.2100000701,6723.252191805806,231.2,19388.85,560.3,74.5,Average Performer
1013219328,Guilherme Godoy,TX,303.0,16024.620000091,463.05633094910735,25.2,1335.39,38.6,-88.0,Average Performer
1013222959,Juan Guzman-Negron,PR,89.0,4632.5,133.86329617236214,7.4,386.04,11.2,-96.5,Bottom 10% Performer
1013232693,Ryan Cleary,MD,1794.0,137271.32000001761,3966.6684004605418,149.5,11439.28,330.6,3.0,Average Performer
1013273036,Michael Avallone,CO,13548.0,502805.7000025448,14529.353121768492,1129.0,41900.48,1210.8,277.2,Top 10% Performer
1013294941,Matt Ashley,OR,10849.0,215351.1600010619,6222.90687798897,904.1,17945.93,518.6,61.6,Average Performer
1013295419,Joel Leon Becerril,MO,1314.0,93368.0700000933,2698.015673494729,109.5,7780.67,224.8,-30.0,Average Performer
1013309947,David Horovitz,CA,741.0,81363.64999968301,2351.129277403558,61.8,6780.3,195.9,-39.0,Average Performer
1013331172,Paul Jones,ID,712.0,52138.760000006,1506.6306037648167,59.3,4344.9,125.6,-60.9,Average Performer
1013334390,Brittani Barrett-Harlow,GA,1525.0,89490.2299998588,2585.9594523483884,127.1,7457.52,215.5,-32.9,Average Performer
1013335512,Tony Chen,CA,525.0,53579.560001077996,1548.2647618368385,43.8,4464.96,129.0,-59.8,Average Performer
1013366491,Samantha Kraemer,MI,763.0,52821.3300002724,1526.3545260754547,63.6,4401.78,127.2,-60.4,Average Performer
1013371442,Joseph Zanghi,IL,1025.0,78329.0900002268,2263.440944114835,85.4,6527.42,188.6,-41.2,Average Performer
1013379643,Andrew Wood,MI,30.0,1867.19000001,53.95536060041264,2.5,155.6,4.5,-98.6,Bottom 10% Performer
1013395730,Matthew Katz,NY,797.0,83785.4000005876,2421.1095121853195,66.4,6982.12,201.8,-37.1,Average Performer
1013398650,Katie Flower,SC,1483.0,56924.980000165895,1644.9358785467891,123.6,4743.75,137.1,-57.3,Average Performer
1013405919,Michael Helbig,DC,144.0,13032.90999985,376.60621506695327,12.0,1086.08,31.4,-90.2,Average Performer
1013440312,Brian Friel,PA,3841.0,158161.8900011172,4570.333928634672,320.1,13180.16,380.9,18.7,Average Performer
1013448612,Jonathan Davila,NY,69.0,7153.999999996,206.7259623996856,5.8,596.17,17.2,-94.6,Bottom 10% Performer
1013490309,Seetharam Bhat Kulthe Ramesh,NY,689.0,31534.709999965202,911.2445168774728,57.4,2627.89,75.9,-76.3,Average Performer
1013496843,Alice Yu,FL,399.0,31170.319999886,900.7149007948287,33.2,2597.53,75.1,-76.6,Average Performer
1013900190,Glenn Kershen,MI,8326.0,555714.530000579,16058.236096438759,693.8,46309.54,1338.2,316.9,Top 10% Performer
1013900414,Jonathan Masel,FL,1495.0,125265.829999608,3619.7510850543545,124.6,10438.82,301.6,-6.0,Average Performer
1013901693,Christopher Lee,NJ,12289.0,809994.1900066732,23406.042559040667,1024.1,67499.52,1950.5,507.7,Top 10% Performer
1013903624,Robert Naismith,TX,4446.0,210438.82000117042,6080.957169558356,370.5,17536.57,506.7,57.9,Average Performer
1013909019,Ronald Rabin,LA,447.0,12406.1699999148,358.4955874934202,37.2,1033.85,29.9,-90.7,Average Performer
1013909266,Richard Airhart,LA,1509.0,64658.0100002296,1868.393813831903,125.8,5388.17,155.7,-51.5,Average Performer
1013910280,Patrick Leu,NE,8846.0,145546.5099993808,4205.792892585167,737.2,12128.88,350.5,9.2,Average Performer
1013912096,Eric Pizza,OH,653.0,52845.119999942,1527.041975135727,54.4,4403.76,127.3,-60.4,Average Performer
1013913938,Anthony Caruso,WA,2817.0,135882.5700000342,3926.5383081654213,234.8,11323.55,327.2,1.9,Average Performer
1013914159,Sean Manion,CO,3811.0,173913.1700008061,5025.491674925479,317.6,14492.76,418.8,30.5,Average Performer
1013917103,Jon Posey,MS,14044.0,302980.71000043413,8755.09908630344,1170.3,25248.39,729.6,127.3,Top 10% Performer
1013919760,Rupa Kitchens,AL,33481.0,82546.55000012291,2385.3110136369464,2790.1,6878.88,198.8,-38.1,Average Performer
1013921709,Peter Knapp,IN,4985.0,115238.4000003287,3329.9928914566954,415.4,9603.2,277.5,-13.5,Average Performer
1013931930,Saad Juma,CA,1420.0,100834.1800000059,2913.760540019011,118.3,8402.85,242.8,-24.4,Average Performer
1013932045,Bradley Frasier,CA,2445.0,218621.710002747,6317.414509618132,203.8,18218.48,526.5,64.0,Average Performer
1013936749,Eric Guilliams,MO,1818.0,100686.8399997705,2909.5029214351907,151.5,8390.57,242.5,-24.5,Average Performer
1013941483,Stuart Holden,CA,487.0,29243.9499998177,845.0494420022337,40.6,2437.0,70.4,-78.1,Average Performer
1013941673,David Weiner,NY,2048.0,190324.0100027522,5499.708433828395,170.7,15860.33,458.3,42.8,Average Performer
1013948959,Evan Rosen,CA,2855.0,200867.4900013348,5804.378695185684,237.9,16738.96,483.7,50.7,Average Performer
1013950740,Rajendra Motwani,OK,108.0,5918.649999982,171.02860181071597,9.0,493.22,14.3,-95.6,Bottom 10% Performer
1013954809,Joseph Decarlo,TX,1995.0,97857.02999971379,2827.7311579923194,166.2,8154.75,235.6,-26.6,Average Performer
1013959741,Bruce Wiita,FL,2020.0,113009.8799999914,3265.596338228161,168.3,9417.49,272.1,-15.2,Average Performer
1013961879,Brian Wade,AL,4768.0,98440.6900001872,2844.5969219442527,397.3,8203.39,237.0,-26.2,Average Performer
1013963164,Fadi Habib,IL,2470.0,172491.679999192,4984.415509336246,205.8,14374.31,415.4,29.4,Average Performer
1013966514,Scott Rosen,PA,2822.0,132859.9399992857,3839.194710753729,235.2,11071.66,319.9,-0.3,Average Performer
1013969039,Victor Jiminez,AL,5447.0,223592.6299992716,6461.056978208287,453.9,18632.72,538.4,67.7,Average Performer
1013970920,Douglas Ludeman,VA,6026.0,225154.09000035317,6506.17779474063,502.2,18762.84,542.2,68.9,Average Performer
1013980697,Kent Kirby,FL,655.0,28784.670000032,831.7778317189405,54.6,2398.72,69.3,-78.4,Average Performer
1013981968,Edward Killorin,GA,1823.0,164750.28999972602,4760.715998859338,151.9,13729.19,396.7,23.6,Average Performer
1013982636,John Mullen,WA,756.0,68462.81999939239,1978.3397194546758,63.0,5705.23,164.9,-48.6,Average Performer
1013983741,Kevin Gancarczyk,OK,21043.0,193093.1300011817,5579.7264652340245,1753.6,16091.09,465.0,44.9,Average Performer
1013983915,Todd Breaux,OH,631.0,37235.169999995,1075.968179112269,52.6,3102.93,89.7,-72.1,Average Performer
1013985316,Michael Berte,OH,4513.0,128266.4400000794,3706.4583802925313,376.1,10688.87,308.9,-3.8,Average Performer
1013985522,Daniel Cahoon,UT,810.0,53094.320000196,1534.2429969252908,67.5,4424.53,127.9,-60.2,Average Performer
1013993179,Charles Zaleski,PA,773.0,64482.750000396,1863.3294034131454,64.4,5373.56,155.3,-51.6,Average Performer
1013994599,Dianne Sacco,MA,1461.0,111781.3199999802,3230.095185255249,121.8,9315.11,269.2,-16.1,Average Performer
1013994748,John Homa,MA,10742.0,555321.7699977588,16046.886684980112,895.2,46276.81,1337.2,316.6,Top 10% Performer
1013995034,Gary Goldberg,MN,3972.0,131616.219999486,3803.2554859963243,331.0,10968.02,316.9,-1.3,Average Performer
1013996859,Matthew Perry,FL,2334.0,208501.4299997039,6024.973270677044,194.5,17375.12,502.1,56.4,Average Performer
1013997469,Lawrence Mcguire,NY,798.0,201021.870002574,5808.839745553513,66.5,16751.82,484.1,50.8,Average Performer
1023000684,Mark Schmidt,VA,3630.0,266981.8200007809,7714.855141586793,302.5,22248.49,642.9,100.3,Average Performer
1023004413,Justin Lee,TX,1467.0,85380.6400002329,2467.206454341502,122.2,7115.05,205.6,-35.9,Average Performer
1023009347,David Kearney,MI,545.0,23071.959999986,666.7001866713479,45.4,1922.66,55.6,-82.7,Average Performer
1023010808,Giridhar Talluri,FL,1846.0,115536.7199998765,3338.6133120618993,153.8,9628.06,278.2,-13.3,Average Performer
1023013505,William Bloch,OH,11399.0,259741.4000003854,7505.631938796672,949.9,21645.12,625.5,94.9,Average Performer
1023018074,Kannan Manickam,MD,6122.0,207364.3099991304,5992.114418778438,510.2,17280.36,499.3,55.6,Average Performer
1023018744,Nathalie Barnes,FL,4567.0,327593.8300005701,9466.33348939121,380.6,27299.49,788.9,145.8,Top 10% Performer
1023019734,Laurence O'connor,MN,499.0,38803.560000022,1121.28924874797,41.6,3233.63,93.4,-70.9,Average Performer
1023032497,Hal Liddell,MS,2514.0,98030.46000028189,2832.7426877346225,209.5,8169.21,236.1,-26.5,Average Performer
1023033149,Sagar Phatak,CT,12030.0,242596.0300009088,7010.189792606781,1002.5,20216.34,584.2,82.0,Average Performer
1023035565,Ronald Neal,IL,307.0,34424.619999696,994.7529633330442,25.6,2868.72,82.9,-74.2,Average Performer
1023037058,Elliot Shulman,NJ,1908.0,193724.98000018141,5597.984754182239,159.0,16143.75,466.5,45.3,Average Performer
1023041464,Parminder Sethi,CA,2209.0,208728.2799987803,6031.528454403555,184.1,17394.02,502.6,56.6,Average Performer
1023042389,Douglas Green,OH,1010.0,63087.209999987004,1823.0031034897502,84.2,5257.27,151.9,-52.7,Average Performer
1023042496,Dudley Danoff,CA,67308.0,849560.8700001978,24549.383347498362,5609.0,70796.74,2045.8,537.3,Top 10% Performer
